id,first_name,last_name,email,department,team_id,grade,country,fte_hours,pension_enrol,salary,pay_detail_id,start_date
1,Ibbie,Roscrigg,iroscrigg0@google.fr,Legal,9,0.0,Nigeria,0.25,Yes,97667.0,1,2014-12-25
2,Sylas,Smallcomb,,Training,3,0.0,Macedonia,0.75,No,48556.0,2,1991-08-01
4,Osmund,Kittel,okittel3@bloomberg.com,Legal,10,0.0,United Kingdom,1.0,Yes,51200.0,4,2007-09-06
5,Feodora,Dumingos,fdumingos4@bandcamp.com,Engineering,2,0.0,Indonesia,0.5,Yes,60460.0,5,1990-03-28
6,Peter,de Vaen,pdevaen5@mail.ru,Product Management,2,1.0,Greece,0.5,No,32060.0,6,1992-06-30
7,Livy,Coneau,lconeau6@sciencedaily.com,Marketing,2,0.0,China,0.25,No,88481.0,7,2018-11-11
8,Misti,Toll,mtoll7@addthis.com,Support,10,0.0,Philippines,0.75,No,81088.0,8,2008-07-06
9,,Spawforth,tspawforth8@flavors.me,Product Management,5,0.0,Russia,1.0,No,61847.0,9,2013-01-18
10,Seymour,Crumbleholme,scrumbleholme9@lycos.com,Training,9,0.0,Indonesia,0.75,No,48322.0,10,2015-09-05
11,Idaline,Pawfoot,ipawfoota@oracle.com,Marketing,1,0.0,Greece,0.25,Yes,56593.0,11,2017-09-29
12,Thorstein,Garr,tgarrb@icio.us,Legal,1,0.0,China,0.75,No,39926.0,12,2012-03-23
13,Jessa,Orman,jormanc@eepurl.com,Marketing,3,0.0,China,0.25,No,30138.0,13,2008-10-22
14,Harlen,Cottu,hcottud@theguardian.com,Engineering,4,0.0,Mexico,0.25,,75705.0,14,2012-12-18
15,Minette,Scamadin,mscamadine@phoca.cz,Accounting,6,1.0,Indonesia,0.5,No,84127.0,15,1990-10-08
16,Augusta,Andresen,aandresenf@google.co.jp,Sales,3,0.0,China,1.0,No,42571.0,16,2018-12-07
17,Janie,Bourgaize,jbourgaizeg@imageshack.us,Services,6,1.0,Philippines,1.0,Yes,76831.0,17,2005-09-07
18,Feliks,Balhatchet,fbalhatcheth@usa.gov,Business Development,8,0.0,Ukraine,1.0,No,81815.0,18,2008-03-01
19,Robby,Harragin,,Legal,10,0.0,South Korea,0.25,Yes,70830.0,19,1998-07-20
20,Paula,Bloggett,pbloggettj@lulu.com,Research and Development,4,0.0,Mozambique,0.25,Yes,,20,2009-08-06
21,Fina,Klimt,,Business Development,5,0.0,China,0.25,Yes,,21,2006-06-03
22,Carie,Rimbault,crimbaultl@dyndns.org,Human Resources,4,0.0,Philippines,0.25,Yes,95805.0,22,2017-03-15
23,Tamqrah,Inchboard,tinchboardm@dmoz.org,Engineering,1,0.0,France,0.25,No,94088.0,23,2016-05-25
24,Michal,Luxen,mluxenn@bigcartel.com,Training,4,0.0,China,0.25,No,45235.0,24,1996-03-30
25,Corilla,Coe,ccoeo@webnode.com,Training,7,0.0,Poland,1.0,No,96915.0,25,1991-10-06
26,Carin,Baggot,cbaggotp@seattletimes.com,Training,2,0.0,Uzbekistan,1.0,No,86428.0,26,2017-10-14
27,Claiborne,de Broke,cdebrokeq@marriott.com,Human Resources,1,0.0,China,0.25,No,50522.0,27,
28,Carmon,Caldayrou,ccaldayrour@barnesandnoble.com,Support,1,1.0,South Africa,0.75,Yes,25867.0,28,2007-05-04
29,Odessa,Defew,odefews@virginia.edu,Research and Development,1,0.0,Slovenia,0.25,Yes,,29,1990-08-07
30,Orville,Cutteridge,ocutteridget@moonfruit.com,Accounting,6,,China,0.5,No,77805.0,30,2014-12-01
31,Milissent,Sumers,msumersu@ehow.com,Business Development,7,,Ivory Coast,0.75,No,,31,2001-11-23
32,Adrea,Brigham,abrighamv@opera.com,Research and Development,8,0.0,China,0.5,No,,32,2019-03-12
33,Gay,Fulk,gfulkw@qq.com,Product Management,10,0.0,China,0.5,Yes,90605.0,33,2017-06-12
34,Elsa,Smetoun,esmetounx@360.cn,Sales,1,0.0,Uzbekistan,0.25,No,38077.0,34,1996-01-20
35,Carmelia,Freezer,cfreezery@apache.org,Human Resources,8,1.0,Indonesia,0.5,No,60459.0,35,1992-12-07
36,Rozele,Duny,,Research and Development,5,0.0,Libya,1.0,Yes,84879.0,36,1994-10-14
37,Franky,Idell,fidell10@economist.com,Legal,4,0.0,Sweden,1.0,Yes,,37,1990-06-06
