"id","local_account_no","local_sort_code","iban","local_tax_code"
1,"33305834","09-95-56",HR72 3447 9133 3004 6430 0,cg6866f
2,"90030297","92-24-41",PS10 XDNX O2XP KGJF OBTY 40WI TVKI G,jc4158o
3,"34312560","29-18-02",CR13 0702 2797 3738 6533 0,lg9978t
4,"05857271","66-39-73",TR18 2882 6AHE NDZU YTM4 BH4I 7D,tx0122l
5,"52528923","17-03-18",BR15 6477 7657 3885 9307 9311 942Q Q,ev7577d
6,"53251763","30-06-79",FR89 5677 9896 86JV 8YXQ TSBD M58,at2525g
7,"51220831","75-84-89",PK84 COKB VCPX 4HXR TKCJ ECVP,es7138m
8,"20250958","97-62-23",,
9,"44302327","34-51-40",,
10,"69249334","67-70-77",NL60 AWEK 9752 1116 74,ud1328m
11,"02011819","14-64-19",,
12,"03723673","26-50-28",IE35 AYJG 4910 1356 9092 27,oi6749a
13,"98280188","84-70-88",EE94 3276 7753 7467 1643,cf8469i
14,"72338114","60-62-41",CY16 1554 4337 QXLO PNKK SKI8 SPRV,sn5159e
15,"19685320","59-18-48",SI65 9507 7453 0822 349,pf3589d
16,"11770094","23-04-04",HU03 9805 8374 7615 1623 0004 7580,vp8719e
17,"72807455","98-28-44",SI28 1211 8875 5153 045,yh6748s
18,"54685540","50-07-86",CY94 4167 6314 DCIE P7JA WEBZ ZHUF,zv2846s
19,"00536107","49-51-39",FR06 5319 1111 33NF HSU1 ZE68 A44,qh8026f
20,"46990594","64-33-15",FR31 9682 6785 49ST 0NCF 72DK C42,ks5060o
21,"45098860","75-84-02",AE58 3046 2320 8921 2437 668,ut1396i
22,"59702129","26-49-81",DK27 6182 0640 8648 83,um1496p
23,"03344246","10-33-58",BH64 KCAE FPUR AM4J VD9K DA,lm7565f
24,"47830191","13-75-16",FR72 0745 3107 935O 9W1K Z1IH Z40,gk8009y
25,"68557157","28-32-90",FI25 9938 0753 7835 32,yz8921t
26,"36559878","55-02-75",BG94 TSVE 7982 26GG JA8X OH,kg6940a
27,"37977015","16-42-05",CY52 2350 3053 LO5Y UE0U IYEY MPC7,os9145m
28,"88696311","40-28-20",CH83 4489 2SEN 3ZZU XVTK W,lq2344s
29,"68721195","76-72-90",DO05 KKAM 0186 5569 5890 6480 9991,bs0416o
30,"85699879","64-97-71",FR18 4593 9172 62SG 12SR ODCH 667,ij7892l
31,"32000703","35-16-23",TR56 5535 0RVA YHLH YVHT IH7U 6E,vv5542y
32,"57148345","70-13-72",PL05 9539 9575 6564 8594 8709 9786,gr6266v
33,"21495867","54-45-77",CZ06 5965 2800 7676 3946 2676,cd1974n
34,"87231452","09-14-03",FR90 5210 6110 93DK BZOB 7PMP V89,aq2429g
35,"44801170","64-44-64",CH14 1093 7S39 6YXP W35J D,nq9651w
36,"69541141","07-40-63",AL29 6241 5113 XDFR GDEG 5T0K SVMZ,me6907z
37,"32692774","61-65-02",DO20 G9AU 2635 3367 5709 9190 2308,lc6073d
38,"24633672","73-05-89",BH68 BABC NPLX GFCA BTGC WU,ud8780w
39,"26992980","77-12-39",FR85 7723 2701 58U4 TMOS RJW2 B86,iu0620c
40,"65395994","97-33-16",FR80 1490 3244 58X2 D3MD 6QC0 H55,lw9686d
41,"11563879","10-76-02",DE54 0636 9081 0739 3960 65,ck4797d
42,"56530810","74-19-45",GT37 H8NE 2UBC KDIT DASB Y2WP ZLFW,rl7922b
43,"02331081","20-65-78",FR66 4264 7741 29HL PSBP SUMK V93,iv4051z
44,"07113401","28-56-72",AL66 3122 9146 NUSQ QGIA B74W NRST,nz4209q
45,"66676356","08-70-32",SK74 2721 5090 5027 4408 1635,bc3984z
46,"69732582","15-96-69",GR86 8208 636S ERX1 EKXO QHWB CLI,yj5952a
47,"71771345","16-05-36",NL54 SBFB 2893 8007 93,jz3529j
48,,,KZ58 855Z VO1C BQ51 FEH9,ws0436u
49,"45310292","58-57-73",,
50,"53973081","12-46-58",KZ44 346P PBWY JF9O D3EC,vy1365i
51,"86442289","77-23-79",GL04 4879 6426 6305 68,oy9873d
52,"42186920","58-65-89",,
53,"40166160","89-20-07",BR56 1118 9234 8639 1188 4546 670A U,mk3818d
54,"81107913","84-64-81",BG66 BRUD 1212 31OH TAPU 0X,kg4913z
55,"20911106","64-15-05",FR50 6617 9209 60I4 BVPA YWRY F01,iu6391y
56,"66013134","67-02-81",,
57,,,CZ44 1893 9420 3647 4702 9522,sb4622l
58,"40938815","45-20-63",BE53 3036 6365 6150,sp7751f
59,"33947492","86-96-35",PK98 WNGT TMMH MSUI QYFJ J7W3,dc5329k
60,"75789785","73-20-82",HU30 5869 0086 9381 0697 4660 3173,ti7878k
61,"95247285","75-04-61",,
62,"24235592","35-60-22",LV20 HQBO GUFC ER2D WAVR Y,kl0293i
63,,,ES50 6222 7276 9992 5773 5432,co1271c
64,"23555714","44-45-19",FR56 5331 7855 193V PXDC NRR5 Q89,ou5128e
65,"73379135","41-44-22",PT90 4578 6618 5213 5288 3114 8,ic6781t
66,"77361329","27-30-27",ME81 0311 9294 9706 9551 70,yn7442p
67,"45363970","00-83-11",CZ18 5999 8940 7955 0124 0904,ug3546p
68,"48388050","13-14-07",LV12 RVCX VRSZ 5AAS LZZP 0,zl4369k
69,"51538710","46-75-94",HR98 2557 2739 4175 9975 4,ln5193n
70,"00552514","05-63-60",BH71 CBBJ HBTB YG2G IZSC LK,lx3499e
71,"32486866","68-62-38",ES15 9272 5577 4769 1995 7740,bn0980q
72,"91784742","57-16-40",EE58 9556 1123 1326 8602,vh5947i
73,"12402307","82-48-21",FR43 5229 0923 84CD J4KO 9DS2 G22,bv3253z
74,"27175407","98-24-37",,
75,"81093304","90-43-09",SI21 8787 5740 1969 221,wx8287h
